Store Name,Address,City,State,ZIP,Phone,Email,Region,Priority
Mekor Judaica,1973 Coney Island Ave,Brooklyn,NY,11223,(718) 627-4385,,Brooklyn - Flatbush,1
The Judaica Place,1917 Avenue M,Brooklyn,NY,11230,(718) 677-0221,,Brooklyn - Flatbush,1
Torah Treasures (Flatbush),2926 Avenue L,Brooklyn,NY,11210,(718) 758-1221,,Brooklyn - Flatbush,1
Tehilat Yitzchak Judaica / iSefer,551 Kings Highway,Brooklyn,NY,11223,(718) 633-7000,Moshe@iSefer.com,Brooklyn - Flatbush,1
Hamafitz Judaica,361 Kingston Ave,Brooklyn,NY,11213,(718) 774-0900,,Brooklyn - Crown Heights,1
Judaica World,329 Kingston Ave,Brooklyn,NY,11213,(718) 604-1020,,Brooklyn - Crown Heights,1
Keter Judaica (Crown Heights),260A Kingston Ave,Brooklyn,NY,11213,(718) 298-4555,,Brooklyn - Crown Heights,1
The Seforim Place,524 Empire Blvd,Brooklyn,NY,11225,(718) 725-7707,,Brooklyn - Crown Heights,1
Bais Hasefer,75 Lee Ave,Brooklyn,NY,11211,(718) 963-1234,,Brooklyn - Williamsburg,1
Malchut Judaica (Williamsburg),165 Lee Ave,Brooklyn,NY,11211,(718) 408-8822,,Brooklyn - Williamsburg,1
Hazorfim / Eastern Silver,67 Lee Ave,Brooklyn,NY,11211,(718) 387-0445,,Brooklyn - Williamsburg,1
Keter Judaica (Bedford Ave),801 Bedford Ave,Brooklyn,NY,11205,(718) 298-2014,,Brooklyn - Williamsburg,1
Judaica Plaza,1700 Madison Ave Unit 11,Lakewood,NJ,08701,(732) 942-4500,web@judaicaplaza.com,Lakewood NJ,1
Judaica Square (River Ave),1328 River Ave,Lakewood,NJ,08701,(732) 444-3111,,Lakewood NJ,1
Judaica Square (County Line),1105 E County Line Rd,Lakewood,NJ,08701,(732) 444-3111,,Lakewood NJ,1
Capitol Seforim South,1263 River Ave,Lakewood,NJ,08701,(732) 276-7170,,Lakewood NJ,1
Z. Berman Books (Chateau Plaza),916 River Ave,Lakewood,NJ,08701,(732) 367-6000,,Lakewood NJ,1
Z. Berman Books (Westgate),118 Hillside Blvd,Lakewood,NJ,08701,(732) 367-6000,,Lakewood NJ,1
Z. Berman Books (Squankum),219 Squankum Rd,Lakewood,NJ,08701,,,Lakewood NJ,1
Torah Treasures,254 2nd St,Lakewood,NJ,08701,(732) 901-1911,,Lakewood NJ,1
Lakewood Judaica (James St),150 James St,Lakewood,NJ,08701,(732) 901-6006,,Lakewood NJ,1
Lakewood Judaica (Cedarbridge),700 Cedarbridge Ave #6,Lakewood,NJ,08701,(732) 901-6006,,Lakewood NJ,1
Keter Judaica (Lakewood),12 America Ave,Lakewood,NJ,08701,(732) 678-9250,,Lakewood NJ,1
Shivti Seforim Store,617 6th St,Lakewood,NJ,08701,,,Lakewood NJ,1
Tuvia's Seforim Judaica & Gifts,421 Route 59,Monsey,NY,10952,(845) 426-0824,,Monsey NY,1
Merkaz Seforim Judaica,27 Orchard St,Monsey,NY,10952,(845) 352-7792,,Monsey NY,1
Capitol Seforim (Monsey),86-92 Secora Rd Atrium Plaza,Monsey,NY,10952,(973) 685-9390,,Monsey NY,1
Torah Treasures of Monsey,455 NY-306,Monsey,NY,10952,(845) 354-4945,,Monsey NY,1
Malchut Judaica (Monsey),17 Main St Suite 107,Monsey,NY,10952,(845) 474-8822,,Monsey NY,1
Mefoar Fine Judaica (Monsey),20 Robert Pitt Dr,Monsey,NY,10952,(845) 356-0707,,Monsey NY,1
The Sofer Center,25 Main St,Monsey,NY,10952,,,Monsey NY,1
Judaica Plus,445 Central Ave,Cedarhurst,NY,11516,(516) 295-4343,info@judaica-plus.com,Five Towns NY,1
Z. Berman Books (Five Towns),408 Central Ave,Cedarhurst,NY,11516,(516) 569-4577,,Five Towns NY,1
Five Towns Judaica,311 Central Ave,Lawrence,NY,11559,(516) 569-9690,,Five Towns NY,1
Capitol Seforim / Seforim Forwarders,1011 Broadway,Woodmere,NY,11598,(973) 685-9390,,Five Towns NY,1
West Side Judaica & Bookstore,2412 Broadway,New York,NY,10024,(212) 362-7846,Sales@westsidejudaica.com,Manhattan NY,2
Dyckman's Jewelry & Judaica,73 W 47th St,New York,NY,10036,(212) 819-0355,,Manhattan NY,2
Safra Judaica & Stam,6964 Main St,Flushing,NY,11367,(718) 268-5151,,Queens NY,2
Gift World Judaica,72-20 Main St,Kew Gardens Hills,NY,11367,(718) 261-0233,,Queens NY,2
Riverdale Judaica,3706 Riverdale Ave,Bronx,NY,10463,(718) 601-7563,,Bronx NY,2
Judaica House,478 Cedar Ln,Teaneck,NJ,07666,(201) 801-9001,,Teaneck NJ,2
Zoldan's Judaica Center,412 Cedar Ln,Teaneck,NJ,07666,(201) 907-0034,,Teaneck NJ,2
Maayan Judaica,177 W Englewood Ave,Teaneck,NJ,07666,(201) 530-7588,,Teaneck NJ,2
Capitol Seforim (Passaic),216 Main Ave,Passaic,NJ,07055,(973) 685-9390,,Passaic NJ,2
Kesser Gifts & Judaica,216 Main Ave,Passaic,NJ,07055,(973) 365-2218,,Passaic NJ,2
Z. Berman Books (Passaic),217 Brook Ave,Passaic,NJ,07055,(973) 471-1765,,Passaic NJ,2
Judaica Gallery,300 Raritan Ave,Highland Park,NJ,08904,(732) 828-7722,,Highland Park NJ,2
Shore Judaica,618 Ocean Ave,Long Branch,NJ,07740,(732) 795-6870,info@shorejudaica.com,Long Branch NJ,2
Capitol Seforim (Howell),6526 US Highway 9,Howell,NJ,07731,,,Howell NJ,2
The Seforim Nook,516 Reisterstown Rd,Baltimore,MD,21208,(410) 840-7677,,Baltimore MD,3
Shabsi's Judaica Center,6830 Reisterstown Rd,Baltimore,MD,21215,(410) 358-2200,,Baltimore MD,3
Bala Judaica & Jewelry,222 Bala Ave,Bala Cynwyd,PA,19004,(610) 664-1303,jewishweddings@msn.com,Philadelphia PA,3
Weitzman Museum Store,101 S Independence Mall E,Philadelphia,PA,19106,(215) 923-0262,,Philadelphia PA,3
Israel Book Shop,410 Harvard St,Brookline,MA,02446,(617) 566-7113,,Boston MA,3
Israeli Accents,4838 Boiling Brook Pkwy,Rockville,MD,20852,(301) 231-7999,,Washington DC,3
Lisbon's Hebrew Books & Gifts,2305 University Blvd W,Wheaton,MD,20902,(301) 933-1800,,Washington DC,3
Aspaclaria Judaica & Wine,18240 W Dixie Hwy,North Miami Beach,FL,33160,(305) 937-7797,,South Florida,3
Torah Treasures (Miami Beach),524 Arthur Godfrey Rd,Miami Beach,FL,33140,(305) 673-6095,,South Florida,3
Sefarad Judaica,2470 NE Miami Gardens Dr,Miami,FL,33180,(305) 931-1831,,South Florida,3
Cohen's Judaica,8903 Glades Rd Ste H-12,Boca Raton,FL,33434,(561) 488-2028,,South Florida,3
Koren Publishers Boca Store,7300 W Camino Real Suite 103,Boca Raton,FL,33433,(561) 800-4241,,South Florida,3
Holyland Judaica,5650 Stirling Rd Ste 5,Hollywood,FL,33021,(954) 964-4288,,South Florida,3
Pinsker's Judaica Center,2028 Murray Ave,Pittsburgh,PA,15217,(412) 421-3033,,Pittsburgh PA,4
Grand Judaica,1873 South Taylor Rd,Cleveland Heights,OH,44118,(216) 321-7200,,Cleveland OH,4
Borenstein's Hebrew Books,25242 Greenfield Rd,Oak Park,MI,48237,(248) 967-3920,,Detroit MI,4
Spitzer's Hebrew Book & Gift Center,21790 W 11 Mile Rd,Southfield,MI,48076,(248) 356-6080,,Detroit MI,4
Rosenblum's World of Judaica,9153 Gross Point Rd,Skokie,IL,60077,(773) 262-1700,info@alljudaica.com,Chicago IL,4
Kesher Stam,2817 W Touhy Ave,Chicago,IL,60645,(773) 973-7826,,Chicago IL,4
The Mitzvah Store (La Brea),7227 Beverly Blvd,Los Angeles,CA,90036,(323) 930-1081,,Los Angeles CA,4
613 The Mitzvah Store (Pico),9400 W Pico Blvd,Los Angeles,CA,90035,(310) 247-9613,,Los Angeles CA,4
Atara's Judaica / Chabad on Fairfax,369 N Fairfax Ave #1,Los Angeles,CA,90036,(323) 655-9282,,Los Angeles CA,4
Brenco Judaica,8815 W Pico Blvd,Los Angeles,CA,90035,(310) 275-9800,,Los Angeles CA,4
Mitzvahland Judaica,16733 Ventura Blvd Ste 3,Encino,CA,91436,(818) 705-7700,,Los Angeles CA,4
House of David Jewish Bookstore,12511 Burbank Blvd,Valley Village,CA,91607,(818) 763-2070,,Los Angeles CA,4
Afikomen Judaica,3042 Claremont Ave,Berkeley,CA,94705,(510) 655-1977,,San Francisco CA,5
Judaica of Las Vegas,9440 W Sahara Ave Suite 240,Las Vegas,NV,89117,(702) 562-5000,,Las Vegas NV,5
Judaica Kingdom,9590 W Sahara Ave,Las Vegas,NV,89117,(888) 583-2420,,Las Vegas NV,5
Schwartz Judaica Shop at Temple Beth Sholom,10700 Havenwood Lane,Las Vegas,NV,89135,(702) 804-1333,,Las Vegas NV,5
YTC Bookstore at The Jewish Experience,399 S Monaco Pkwy,Denver,CO,80224,(303) 746-7878,,Denver CO,5
Mazel Tov Gifts,10215 N Scottsdale Rd,Scottsdale,AZ,85253,(480) 922-0250,,Phoenix AZ,5
Judaica Central,Phoenix (by appointment),Phoenix,AZ,,(602) 292-1235,,Phoenix AZ,5
Chabad of Bellevue Judaica Store,16199 Northup Way,Bellevue,WA,98008,(425) 647-8536,,Seattle WA,5
Jumbo Judaica of Texas,11000 Fondren Rd,Houston,TX,77096,(713) 774-7704,,Houston TX,5
Traditions Gift Shop at Temple Shalom,6930 Alpha Rd,Dallas,TX,75240,(972) 661-1850,,Dallas TX,5
Hatikva Fine Judaica,7964 C Arjons Dr,San Diego,CA,,(858) 695-9777,,San Diego CA,5
Schwartz Judaica (Used/Rare),1934 Pentuckett Ave,San Diego,CA,92104,(619) 232-5888,,San Diego CA,5
Frankel's World of Judaica,4801 Minnetonka Blvd,St. Louis Park,MN,55416,(952) 926-3738,,Minneapolis MN,5
Milwaukee Judaica (at Ohr HaTorah),7020 N Green Bay Ave,Glendale,WI,53209,(414) 228-8930,,Milwaukee WI,5
Crown Judaica (Peltz Center),2233 W Mequon Rd,Mequon,WI,53092,(262) 242-9514,crownjudaica@gmail.com,Milwaukee WI,5
