Key,SourceString
options.keyInUse,המקש כבר משמש עבור {0}.
options.holdOrToggle,Hold or toggle
options.snapTurn,Snap turning
options.subtitles,כתוביות
options.subtitleSize,גודל כתוביות
options.subtitleBackground,רקע לכתוביות
options.textSize,גודל טקסט בממשק
options.reduceMotion,הפחתת תנועת מצלמה
options.highContrast,ממשק בניגודיות גבוהה
options.colourVision,Colour vision
options.colourVisionDeuteranope,Deuteranopia
options.colourVisionProtanope,Protanopia
options.colourVisionTritanope,Tritanopia
hud.interact,התבוננות
hud.enter,כניסה
hud.blocked,אין כניסה מכאן.
hud.timeOfDay,שעת היום
hud.dawn,עלות השחר
hud.morning,בוקר
hud.midday,צהריים
hud.afternoon,אחר הצהריים
hud.dusk,בין הערביים
hud.night,לילה
hud.compass,מצפן
hud.north,צ
hud.south,ד
hud.east,מז
hud.west,מע
units.amah,{0} אמות
units.amahOne,אמה אחת
units.metres,{0} מ׳
units.tefach,{0} טפחים
units.hours,{0} שע׳
units.minutes,{0} דק׳
term.mikdash,בית המקדש
term.mikdash.gloss,בית המקדש
term.heikhal,היכל
term.heikhal.gloss,ההיכל
term.kodeshHakodashim,קודש הקודשים
term.kodeshHakodashim.gloss,קודש הקודשים
term.ulam,אולם
term.ulam.gloss,האולם
term.azarah,עזרה
term.azarah.gloss,העזרה
term.ezrasNashim,עזרת נשים
term.ezrasNashim.gloss,עזרת נשים
term.mizbeach,מזבח
term.mizbeach.gloss,המזבח
term.mizbeachHaolah,מזבח העולה
term.mizbeachHaolah.gloss,מזבח העולה
term.mizbeachHazahav,מזבח הזהב
term.mizbeachHazahav.gloss,מזבח הזהב
term.menorah,מנורה
term.menorah.gloss,המנורה
term.shulchan,שולחן
term.shulchan.gloss,השולחן
term.lechemHapanim,לחם הפנים
term.lechemHapanim.gloss,לחם הפנים
term.paroches,פרוכת
term.paroches.gloss,הפרוכת
term.kohen,כהן
term.kohen.gloss,כהן
term.kohenGadol,כהן גדול
term.kohenGadol.gloss,הכהן הגדול
term.levi,לוי
term.levi.gloss,לוי
term.amah,אמה
term.amah.gloss,אמה — חצי מטר בשחזור זה
term.tefach,טפח
term.tefach.gloss,טפח — שישית האמה
term.kiyor,כיור
term.kiyor.gloss,הכיור
term.ketores,קטורת
term.ketores.gloss,הקטורת
term.aron,ארון
term.aron.gloss,הארון
term.keruvim,כרובים
term.keruvim.gloss,הכרובים
term.shaar,שער
term.shaar.gloss,שער
term.lishkah,לשכה
term.lishkah.gloss,לשכה
term.duchan,דוכן
term.duchan.gloss,הדוכן
term.evenHashesiyah,אבן השתייה
term.evenHashesiyah.gloss,אבן השתייה
term.kotel,כותל
term.kotel.gloss,הכותל
term.har,הר הבית
term.har.gloss,הר הבית
term.olah,עולה
term.olah.gloss,קרבן עולה
term.korban,קרבן
term.korban.gloss,
term.tamid,תמיד
term.tamid.gloss,
